time,x,y,z,vx,vy,vz
40500,6.87715e+06,1.52427e+06,0,2547.37,8118.78,0
41000,6.1901e+06,5.14908e+06,0,-1374.1,7249.61,0
41500,4.32134e+06,7.79091e+06,0,-3737.51,5283.67,0
42000,1.84363e+06,9.33485e+06,0,-4955.44,3087.87,0
42500,-847350,9.79901e+06,0,-5381.95,928.311,0
43000,-3.44958e+06,9.2369e+06,0,-5204.46,-1124.22,0
43500,-5.69321e+06,7.71456e+06,0,-4487.26,-3044.67,0
44000,-7.29316e+06,5.32001e+06,0,-3199.9,-4789.1,0
44500,-7.90521e+06,2.20484e+06,0,-1224.09,-6230.36,0
45000,-7.09214e+06,-1.30782e+06,0,1626.14,-7025.31,0
45500,-4.39481e+06,-4.47301e+06,0,5394.65,-6330.38,0
46000,78591.4,-5.83052e+06,0,8946.8,-2715.02,0
46500,4.51249e+06,-4.25752e+06,0,8867.8,3146.01,0
47000,7.06323e+06,-907754,0,5101.47,6699.53,0
47500,7.66501e+06,2.69249e+06,0,1203.58,7200.48,0
48000,6.84232e+06,5.79235e+06,0,-1645.38,6199.73,0
48500,5.07329e+06,8.09109e+06,0,-3538.08,4597.47,0
49000,2.72382e+06,9.46413e+06,0,-4698.93,2746.1,0
49500,90192.3,9.84983e+06,0,-5267.26,771.381,0
50000,-2.55284e+06,9.20853e+06,0,-5286.07,-1282.6,0
50500,-4.90434e+06,7.5156e+06,0,-4702.99,-3385.86,0
51000,-6.57965e+06,4.78645e+06,0,-3350.62,-5458.29,0
51500,-7.03772e+06,1.17182e+06,0,-916.144,-7229.28,0
52000,-5.56471e+06,-2.76436e+06,0,2946.01,-7872.35,0
52500,-1.78013e+06,-5.55222e+06,0,7569.18,-5575.72,0
53000,2.89939e+06,-5.54879e+06,0,9359.03,6.8447,0
53500,6.40149e+06,-3.29206e+06,0,7004.2,4513.47,0
54000,8.19337e+06,-155818,0,3583.75,6272.48,0
54500,8.50164e+06,3.00864e+06,0,616.545,6328.91,0
55000,7.65485e+06,5.76433e+06,0,-1693.58,5511.38,0
55500,5.94114e+06,7.8672e+06,0,-3427.42,4205.75,0
56000,3.60953e+06,9.15187e+06,0,-4663.21,2569.33,0
56500,900164,9.47873e+06,0,-5418.73,653.734,0
57000,-1.91312e+06,8.71132e+06,0,-5626.57,-1534.82,0
57500,-4.4577e+06,6.72035e+06,0,-5089.15,-3981.94,0
58000,-6.15529e+06,3.45248e+06,0,-3395.18,-6535.74,0
58500,-6.1079e+06,-794141,0,94.7626,-8493.24,0
59000,-3.45573e+06,-4.70209e+06,0,5304.34,-7815.9,0
59500,929480,-6.25195e+06,0,8770.43,-3099.73,0
60000,4.94789e+06,-5.33462e+06,0,8036.83,1834.67,0
60500,7.68626e+06,-3.03719e+06,0,5476.74,4594.85,0
61000,9.06778e+06,-203610,0,2763.04,5667.16,0
61500,9.2383e+06,2.65716e+06,0,341.024,5721.54,0
62000,8.37244e+06,5.21985e+06,0,-1731.72,5125.37,0
62500,6.63789e+06,7.24095e+06,0,-3469.09,4042.2,0
63000,4.2055e+06,8.50079e+06,0,-4864.8,2519.69,0
63500,1.28186e+06,8.76766e+06,0,-5847.28,533.742,0
64000,-1.82539e+06,7.7787e+06,0,-6214.49,-1977.92,0
64500,-4.57603e+06,5.27009e+06,0,-5501.27,-5017.22,0
65000,-5.98549e+06,1.21688e+06,0,-2818.91,-8106.42,0
65500,-4.77739e+06,-3.36849e+06,0,2416.18,-9170.75,0
66000,-1.18591e+06,-6.27336e+06,0,7182.98,-5809.72,0
66500,2.85969e+06,-6.77604e+06,0,8091.19,-1005.38,0
67000,6.18899e+06,-5.58148e+06,0,6658.6,2389.14,0
67500,8.45285e+06,-3.42605e+06,0,4527.72,4310.85,0
68000,9.60655e+06,-820664,0,2307.4,5210.77,0
68500,9.69217e+06,1.87597e+06,0,171.231,5393.26,0
69000,8.77391e+06,4.37829e+06,0,-1836.51,5004.65,0
69500,6.92832e+06,6.41787e+06,0,-3691.19,4079.14,0
70000,4.26307e+06,7.69818e+06,0,-5330.49,2560.62,0
70500,974398,7.85271e+06,0,-6577.35,309.064,0
71000,-2.51025e+06,6.42787e+06,0,-6969.3,-2849.68,0
71500,-5.23365e+06,3.05374e+06,0,-5446.8,-6748.26,0
72000,-5.61287e+06,-1.68818e+06,0,-758.429,-9483.84,0
72500,-3.21434e+06,-5.59464e+06,0,4797.05,-7812.91,0
73000,376605,-7.42566e+06,0,7181.89,-3662.04,0
73500,3.87625e+06,-7.45643e+06,0,6999.29,-61.5353,0
74000,6.72507e+06,-6.23526e+06,0,5697.64,2442.34,0
74500,8.70504e+06,-4.20852e+06,0,3959.95,4053.47,0
75000,9.72538e+06,-1.71784e+06,0,2040.68,4981.36,0
75500,9.7396e+06,950549,0,28.4414,5336.79,0
76000,8.71816e+06,3.51787e+06,0,-2042.89,5134.63,0
76500,6.65113e+06,5.66328e+06,0,-4134.06,4290.83,0
77000,3.58984e+06,6.96211e+06,0,-6122.58,2597.65,0
77500,-215747,6.81744e+06,0,-7611.17,-289.324,0
78000,-3.95358e+06,4.53195e+06,0,-7475.67,-4570.99,0
78500,-5.88026e+06,170342,0,-3853.35,-8723.21,0
79000,-4.92862e+06,-4.27465e+06,0,1903.27,-8889.98,0
79500,-2.20834e+06,-7.18567e+06,0,5440.57,-5822.05,0
80000,1.02996e+06,-8.41111e+06,0,6476.61,-2450.88,0
80500,4.0996e+06,-8.2591e+06,0,6139.27,304.018,0
81000,6.64811e+06,-7.05723e+06,0,5097.02,2403.75,0
81500,8.46972e+06,-5.08372e+06,0,3643.23,3947,0
82000,9.41574e+06,-2.58467e+06,0,1892.04,4998.11,0
82500,9.3538e+06,191072,0,-123.877,5551.49,0
83000,8.15363e+06,2.94356e+06,0,-2400.34,5504.98,0
83500,5.70617e+06,5.24577e+06,0,-4894.92,4604.41,0
84000,2.03763e+06,6.42542e+06,0,-7337.08,2359.3,0
84500,-2.29385e+06,5.51456e+06,0,-8662.96,-1821.71,0
85000,-5.55245e+06,2.02444e+06,0,-6517.21,-6980.24,0
85500,-6.13066e+06,-2.44296e+06,0,-1156.41,-8934.8,0
86000,-4.58338e+06,-6.06339e+06,0,3094.56,-7240.87,0
